video_id,category,rho_bi,tau_bi,mse_bi,mae_bi,overlap_bi,rho_tr,tau_tr,mse_tr,mae_tr,overlap_tr
4wU_LUjG5Ic,Parade,0.7492123825949605,0.5563781636129886,0.007853003218770027,0.06869626045227051,0.56,0.6111759248416149,0.4219128173362384,0.010944799520075321,0.08264267444610596,0.44
Bhxk-O1Y7Ho,Grooming an Animal,0.7857423682135198,0.5638169758789819,0.012839380651712418,0.09739257395267487,0.3333333333333333,0.7492405543225208,0.5278239165784553,0.01281153503805399,0.09293964505195618,0.2740740740740741
JgHubY5Vw3Y,Attempting Bike Tricks,0.6647018490703002,0.452568893362468,0.01948179118335247,0.12217291444540024,0.5348837209302325,0.5469648421123019,0.35878018953246615,0.02335251122713089,0.12289050221443176,0.32558139534883723
LRw_obCPUt0,Making Sandwich,0.7230523552048719,0.49901250825107835,0.01470711175352335,0.09930271655321121,0.34615384615384615,0.7085493773557799,0.4883186857443509,0.011068490333855152,0.08347039669752121,0.32051282051282054
NyBmCxDoHJU,Dog Show,0.44245511370210666,0.3002602956227157,0.014020931906998158,0.09769673645496368,0.19298245614035087,0.37347058443071285,0.2538529568018726,0.012822462245821953,0.08980444073677063,0.2631578947368421
PJrm840pAUI,Parkour,0.3038663793269184,0.22414389555699532,0.011871113441884518,0.07740743458271027,0.2073170731707317,0.2131541295615723,0.1516407768458588,0.011870996095240116,0.07713703066110611,0.14634146341463414
Se3oxnaPsz0,Bee Keeping,0.7326266291859567,0.5244635468686251,0.02119232900440693,0.10375706106424332,0.4146341463414634,0.7217615701025152,0.5187615342873421,0.017654798924922943,0.09807704389095306,0.4634146341463415
_xMr-HKMfVA,Flash Mob Gathering,-0.028662137567515757,-0.0159772120562362,0.023060619831085205,0.11974671483039856,0.13636363636363635,0.016889361353394784,0.014363352252575979,0.020790746435523033,0.1177770122885704,0.06818181818181818
gzDbaEs1Rlg,Changing Vehicle Tire,0.5211805667818716,0.3575672933280287,0.013832345604896545,0.09123758226633072,0.45348837209302323,0.47420936406570624,0.330007589788544,0.015306366607546806,0.09452707320451736,0.3953488372093023
vdmoEJ5YbrQ,Getting Vehicle Unstuck,0.3567478679931536,0.24576463514649208,0.009433896280825138,0.07383637875318527,0.2755102040816326,0.013731898304845665,0.013202877537271368,0.014314292930066586,0.09059061110019684,0.19387755102040816
